dataset,model,threshold,lamb,auc,pr
Abalone,GREAD,0.1,0.9,0.644096,0.062101
Abalone,GREAD,0.2,0.9,0.641764,0.060456
Abalone,GREAD,0.3,0.9,0.641764,0.060456
Abalone,GREAD,0.4,0.9,0.641764,0.060456
Abalone,GREAD,0.5,0.9,0.641764,0.060456
Abalone,GREAD,0.6,0.9,0.677422,0.086333
Abalone,GREAD,0.7,0.9,0.677422,0.086333
Abalone,GREAD,0.8,0.9,0.706704,0.089024
Abalone,GREAD,0.9,0.9,0.677499,0.057799
Abalone,GREAD,0.1,0.8,0.638885,0.058148
Abalone,GREAD,0.2,0.8,0.638270,0.058626
Abalone,GREAD,0.3,0.8,0.638270,0.058626
Abalone,GREAD,0.4,0.8,0.638270,0.058626
Abalone,GREAD,0.5,0.8,0.638270,0.058626
Abalone,GREAD,0.6,0.8,0.638270,0.058626
Abalone,GREAD,0.7,0.8,0.661915,0.090308
Abalone,GREAD,0.8,0.8,0.701651,0.080236
Abalone,GREAD,0.9,0.8,0.673947,0.056636
Abalone,GREAD,0.1,0.7,0.633578,0.055883
Abalone,GREAD,0.2,0.7,0.633578,0.055883
Abalone,GREAD,0.3,0.7,0.635504,0.057938
Abalone,GREAD,0.4,0.7,0.635504,0.057938
Abalone,GREAD,0.5,0.7,0.635504,0.057938
Abalone,GREAD,0.6,0.7,0.635504,0.057938
Abalone,GREAD,0.7,0.7,0.670385,0.081837
Abalone,GREAD,0.8,0.7,0.696860,0.078396
Abalone,GREAD,0.9,0.7,0.670490,0.056006
Abalone,GREAD,0.1,0.6,0.634468,0.054319
Abalone,GREAD,0.2,0.6,0.634468,0.054319
Abalone,GREAD,0.3,0.6,0.632210,0.056312
Abalone,GREAD,0.4,0.6,0.632210,0.056312
Abalone,GREAD,0.5,0.6,0.632210,0.056312
Abalone,GREAD,0.6,0.6,0.632210,0.056312
Abalone,GREAD,0.7,0.6,0.663441,0.081519
Abalone,GREAD,0.8,0.6,0.694238,0.074983
Abalone,GREAD,0.9,0.6,0.659713,0.058863
Abalone,GREAD,0.1,0.5,0.642934,0.054056
Abalone,GREAD,0.2,0.5,0.642934,0.054056
Abalone,GREAD,0.3,0.5,0.635169,0.056425
Abalone,GREAD,0.4,0.5,0.635169,0.056425
Abalone,GREAD,0.5,0.5,0.635169,0.056425
Abalone,GREAD,0.6,0.5,0.635169,0.056425
Abalone,GREAD,0.7,0.5,0.660291,0.079138
Abalone,GREAD,0.8,0.5,0.695442,0.071220
Abalone,GREAD,0.9,0.5,0.661220,0.057279
Abalone,GREAD,0.1,0.4,0.685848,0.055106
Abalone,GREAD,0.2,0.4,0.647191,0.059790
Abalone,GREAD,0.3,0.4,0.647191,0.059790
Abalone,GREAD,0.4,0.4,0.647191,0.059790
Abalone,GREAD,0.5,0.4,0.647191,0.059790
Abalone,GREAD,0.6,0.4,0.647191,0.059790
Abalone,GREAD,0.7,0.4,0.665631,0.083952
Abalone,GREAD,0.8,0.4,0.696743,0.070472
Abalone,GREAD,0.9,0.4,0.663179,0.057565
Abalone,GREAD,0.1,0.3,0.735140,0.051985
Abalone,GREAD,0.2,0.3,0.676622,0.066237
Abalone,GREAD,0.3,0.3,0.676622,0.066237
Abalone,GREAD,0.4,0.3,0.676622,0.066237
Abalone,GREAD,0.5,0.3,0.676622,0.066237
Abalone,GREAD,0.6,0.3,0.676622,0.066237
Abalone,GREAD,0.7,0.3,0.693493,0.084655
Abalone,GREAD,0.8,0.3,0.686182,0.055568
Abalone,GREAD,0.9,0.3,0.670379,0.056926
Abalone,GREAD,0.1,0.2,0.658910,0.037947
Abalone,GREAD,0.2,0.2,0.733479,0.077266
Abalone,GREAD,0.3,0.2,0.733479,0.077266
Abalone,GREAD,0.4,0.2,0.733479,0.077266
Abalone,GREAD,0.5,0.2,0.733479,0.077266
Abalone,GREAD,0.6,0.2,0.728215,0.092853
Abalone,GREAD,0.7,0.2,0.728215,0.092853
Abalone,GREAD,0.8,0.2,0.694716,0.056892
Abalone,GREAD,0.9,0.2,0.675018,0.058673
Abalone,GREAD,0.1,0.1,0.734866,0.058011
Abalone,GREAD,0.2,0.1,0.809604,0.083588
Abalone,GREAD,0.3,0.1,0.809604,0.083588
Abalone,GREAD,0.4,0.1,0.809604,0.083588
Abalone,GREAD,0.5,0.1,0.778454,0.095378
Abalone,GREAD,0.6,0.1,0.778454,0.095378
Abalone,GREAD,0.7,0.1,0.691470,0.058963
Abalone,GREAD,0.8,0.1,0.668198,0.061059
Abalone,GREAD,0.9,0.1,0.668198,0.061059
